"proptime","growth_curve","pred_curve","fitness","NCE_CE","mu_g"
1,0.476190476190476,0.1,0.376190476190476,5.23809523809524,0.21
0.99,0.480519480519481,0.103,0.377519480519481,5.04350018913126,0.214351351351351
0.98,0.484848484848485,0.106,0.378848484848485,4.85991995425958,0.218625
0.97,0.489177489177489,0.109,0.380177489177489,4.68644505341753,0.222823008849558
0.96,0.493506493506493,0.112,0.381506493506493,4.52226345083488,0.226947368421053
0.95,0.497835497835498,0.115,0.382835497835498,4.36664784490871,0.231
0.94,0.502164502164502,0.118,0.384164502164502,4.218944896911,0.23498275862069
0.93,0.506493506493506,0.121,0.385493506493506,4.07856606203714,0.238897435897436
0.92,0.510822510822511,0.124,0.386822510822511,3.94497975143137,0.242745762711864
0.91,0.515151515151515,0.127,0.388151515151515,3.81770460510618,0.246529411764706
0.9,0.519480519480519,0.13,0.389480519480519,3.6963036963037,0.25025
0.89,0.523809523809524,0.133,0.390809523809524,3.58037952022914,0.253909090909091
0.88,0.528138528138528,0.136,0.392138528138528,3.46956964604023,0.257508196721311
0.87,0.532467532467532,0.139,0.393467532467532,3.36354293188826,0.261048780487805
0.86,0.536796536796537,0.142,0.394796536796537,3.2619962197427,0.264532258064516
0.85,0.541125541125541,0.145,0.396125541125541,3.16465144051351,0.26796
0.84,0.545454545454545,0.148,0.397454545454545,3.07125307125307,0.271333333333333
0.83,0.54978354978355,0.151,0.39878354978355,2.98156589547318,0.274653543307087
0.82,0.554112554112554,0.154,0.400112554112554,2.89537302524316,0.277921875
0.81,0.558441558441558,0.157,0.401441558441558,2.81247415005377,0.281139534883721
0.8,0.562770562770563,0.16,0.402770562770563,2.73268398268398,0.284307692307692
0.79,0.567099567099567,0.163,0.404099567099567,2.65583087668977,0.287427480916031
0.78,0.571428571428571,0.166,0.405428571428571,2.58175559380379,0.2905
0.77,0.575757575757576,0.169,0.406757575757576,2.51031020261789,0.293526315789474
0.76,0.58008658008658,0.172,0.40808658008658,2.44135709251988,0.296507462686567
0.75,0.584415584415584,0.175,0.409415584415584,2.3747680890538,0.299444444444445
0.74,0.588744588744589,0.178,0.410744588744589,2.31042365873827,0.302338235294118
0.73,0.593073593073593,0.181,0.412073593073593,2.24821219296357,0.305189781021898
