"case","T_A","T_B","P_A","P_B","optim","fitness","CE","NCE","optim_mu_g"
"base","20","23","0.4","0",1,0.818730753077982,0,0.181269246922018,1
"warmed","21.5","24.5","0.4","0",0,0.6,0.4,0,1
