"h","NCE_TPE","OptimalRITR","Fitness","inverse_h"
4.1,0.290671183330243,0.37,0.644734579960927,0.24390243902439
4,0.294342264367085,0.37,0.642886363636364,0.25
3.9,0.286858075373553,0.36,0.641025171624714,0.256410256410256
3.8,0.279508065804185,0.35,0.639135446685879,0.263157894736842
3.7,0.272285791166408,0.34,0.637220220801859,0.27027027027027
3.6,0.276138992125166,0.34,0.635289099526066,0.277777777777778
3.5,0.269067071082628,0.33,0.633345291479821,0.285714285714286
3.4,0.262109456909205,0.32,0.631381642512077,0.294117647058824
3.3,0.255259162157088,0.31,0.629401281660055,0.303030303030303
3.2,0.248508946322068,0.3,0.627407407407407,0.3125
3.1,0.241851279810255,0.29,0.625403311465167,0.32258064516129
3,0.235278300618446,0.28,0.623392405063291,0.333333333333333
2.9,0.228781762534699,0.27,0.621378248315688,0.344827586206897
2.8,0.222352973372376,0.26,0.619364583333333,0.357142857142857
2.7,0.205513235052338,0.24,0.617363040629096,0.37037037037037
2.6,0.199200426808566,0.23,0.615384410393071,0.384615384615385
2.5,0.192914766748509,0.22,0.613423728813559,0.4
2.4,0.176304654442877,0.2,0.611506849315068,0.416666666666667
2.3,0.170005332798861,0.19,0.609636046105483,0.434782608695652
2.2,0.153397483559399,0.17,0.607844302901628,0.454545454545455
2.1,0.136749019965357,0.15,0.606140035906643,0.476190476190476
2,0.119979326639102,0.13,0.604554744525547,0.5
1.9,0.102996640436856,0.11,0.603123002601263,0.526315789473685
1.8,0.0856953511224186,0.09,0.601883244882487,0.555555555555556
1.7,0.0578676913105875,0.0599999999999999,0.600905311778291,0.588235294117647
1.6,0.0294066906102476,0.03,0.600244514106583,0.625
1.5,0,0,0.6,0.666666666666667
