"trait","speed","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0,1,1,0.899999387549513,0.100000612450487,0,0.899999387549513
0.01,0.99,0.998878923766816,0.895510697065357,0.103368226701459,0.00125188480367419,0.896515759576093
0.02,0.98,0.997737556561086,0.891044847029164,0.106692709531922,0.00253909042452492,0.893065356886373
0.03,0.97,0.996575342465753,0.886602182585701,0.109973159880053,0.00386267663390909,0.889648925481184
0.04,0.96,0.995391705069124,0.88218305402223,0.113208651046894,0.00522374002749722,0.886267234827889
0.05,0.95,0.994186046511628,0.877787816805411,0.116398229706217,0.00662341556474456,0.882921078891992
0.06,0.94,0.992957746478873,0.873416831615804,0.11954091486307,0.00806287818852623,0.8796112772301
0.07,0.93,0.991706161137441,0.869070464379804,0.122635696757637,0.00954334453015619,0.87633867614881
0.08,0.92,0.99043062200957,0.864749086298809,0.125681535710761,0.0110660747054248,0.873104149934546
0.09,0.91,0.989130434782609,0.860453073875432,0.128677360907176,0.0126323742077362,0.869908602159778
0.1,0.9,0.987804878048781,0.856182808936559,0.131622069112222,0.0142435959049057,0.866752967071578
0.11,0.89,0.986453201970443,0.851938678653029,0.134514523317414,0.0159011421467271,0.863638211068989
0.12,0.88,0.985074626865672,0.847721075555753,0.137353551309919,0.0176064669909774,0.860565334276294
0.13,0.87,0.983668341708543,0.843530397548004,0.140137944160538,0.0193610785561854,0.857535372219938
0.14,0.86,0.982233502538071,0.839367047913691,0.14286645462438,0.021166541510164,0.854549397617557
0.15,0.85,0.980769230769231,0.835231435321345,0.145537795447885,0.0230244797040839,0.851608522288431
0.16,0.84,0.979274611398964,0.831123973823595,0.148150637575369,0.0249365789626895,0.848713899195523
0.17,0.83,0.977748691099476,0.827045082851867,0.15070360824761,0.0269045900421718,0.845866724630289
0.18,0.82,0.976190476190476,0.82299518720606,0.153195288984416,0.0289303317682249,0.843068240552549
0.19,0.81,0.974598930481283,0.818974717038923,0.155624213442361,0.0310156943678999,0.840319737098922
0.2,0.8,0.972972972972973,0.814984107834863,0.15798886513811,0.0331626430100933,0.837622555274721
0.21,0.79,0.971311475409836,0.811023800382918,0.160287675026918,0.035373221570833,0.834978089845705
0.22,0.78,0.969613259668508,0.807094240743591,0.162519018924917,0.0376495566409888,0.832387792447806
0.23,0.77,0.967877094972067,0.803195880209277,0.16468121476279,0.0399938617956596,0.829853174934838
0.24,0.76,0.966101694915254,0.799329175257976,0.166772519657278,0.0424084421462602,0.827375812986326
0.25,0.75,0.964285714285714,0.7954945875,0.168791126785714,0.0448956991983127,0.82495735
0.26,0.74,0.96242774566474,0.791692583617374,0.170735162047365,0.0474581360401108,0.822599501296131
0.27,0.73,0.960526315789474,0.787923635295623,0.17260268049385,0.0500983628898454,0.820304058663937
0.28,0.72,0.958579881656805,0.78418821914764,0.174391662509165,0.0528191030314331,0.818072895283649
0.29,0.71,0.956586826347305,0.780486816629328,0.176100009717978,0.0556231991722579,0.815907971061644
0.3,0.7,0.954545454545455,0.776819913946711,0.177725540598743,0.058513620259307,0.813811338420364
0.31,0.69,0.952453987730061,0.773188001954201,0.179265985775861,0.0614934687938356,0.811785148589595
0.32,0.68,0.950310559006211,0.76959157604371,0.180718982962502,0.0645659886887414,0.809831658451224
0.33,0.67,0.94811320754717,0.766031136024321,0.182082071522849,0.067734573717357,0.807953237995801
0.34,0.66,0.945859872611465,0.762507185992199,0.183352686619266,0.0710027766073918,0.806152378456399
0.35,0.65,0.943548387096774,0.759020234190453,0.184528152906321,0.0743743188393854,0.804431701193301
0.36,0.64,0.941176470588235,0.755570792858669,0.185605677729566,0.0778531012153189,0.802793967412336
0.37,0.63,0.938741721854305,0.752159378071818,0.186582343782486,0.081443215270057,0.801242088810191
0.38,0.62,0.936241610738255,0.748786509568282,0.187455101169973,0.0851489556061918,0.799779139252143
0.39,0.61,0.933673469387755,0.745452710566723,0.188220758821032,0.0889748332416966,0.798408367601518
0.4,0.6,0.931034482758621,0.742158507571569,0.188875975187052,0.0929255900697585,0.79713321183613
0.41,0.59,0.928321678321678,0.738904430166852,0.189417248154826,0.0970062145413527,0.795957314605348
0.42,0.58,0.925531914893617,0.735691010798217,0.1898409040954,0.101221958693754,0.794884540402671
0.43,0.57,0.922661870503597,0.732518784542869,0.190143085960728,0.105578356662438,0.793918994553285
0.44,0.56,0.91970802919708,0.72938828886731,0.19031974032977,0.110081244829976,0.793065044244615
0.45,0.55,0.916666666666667,0.726300063372681,0.190366603293986,0.114736783783775,0.792327341861107
0.46,0.54,0.913533834586466,0.723254649527604,0.190279185058862,0.119551482275309,0.791710850923221
0.47,0.53,0.91030534351145,0.720252590388396,0.190052753123055,0.124532223397047,0.791220874975931
0.48,0.52,0.906976744186046,0.717294430306585,0.189682313879461,0.129686293220196,0.79086308982521
0.49,0.51,0.903543307086614,0.714380714623696,0.189162592462918,0.135021412167033,0.790643579583524
0.5,0.5,0.9,0.711511989353262,0.188488010646738,0.140545769426733,0.79056887705918
0.51,0.49,0.896341463414634,0.708688800850111,0.187652662564523,0.146268060763796,0.790646009111688
0.52,0.48,0.892561983471074,0.705911695466975,0.1866502880041,0.152197530114377,0.790882547699111
0.53,0.47,0.888655462184874,0.703181219198514,0.18547424298636,0.158344015419008,0.791286667466886
0.54,0.46,0.884615384615385,0.700497917312905,0.184117467302479,0.164717999201523,0.791867210875458
0.55,0.45,0.880434782608696,0.697862333971168,0.182572448637528,0.171330664474928,0.792633762041326
0.56,0.44,0.876106194690266,0.695275011834463,0.180831182855803,0.178193956637165,0.79359673067974
0.57,0.43,0.871621621621622,0.692736491659634,0.178885129961988,0.185320652115228,0.794767447795549
0.58,0.42,0.86697247706422,0.690247311883315,0.176725165180905,0.192724434627379,0.796158275082342
0.59,0.41,0.86214953271028,0.68780800819498,0.1743415245153,0.20041998006316,0.797782730372497
0.6,0.4,0.857142857142857,0.685419113099357,0.1717237440435,0.208423051133146,0.79965563194925
0.61,0.39,0.851941747572815,0.683081155468682,0.168860592104133,0.216750603119182,0.801793265108539
0.62,0.38,0.846534653465347,0.680794660085338,0.165739993380009,0.225420902266502,0.804213575071569
0.63,0.37,0.840909090909091,0.678560147175436,0.162348943733654,0.234453658608066,0.806936391235654
0.64,0.36,0.835051546391753,0.676378131934015,0.158673414457737,0.243870175306524,0.809983688859253
0.65,0.35,0.828947368421053,0.67424912404252,0.154698244378533,0.253693516950213,0.813379895670342
0.66,0.34,0.82258064516129,0.672173627179334,0.150407017981957,0.263948699658481,0.817152252649386
0.67,0.33,0.815934065934066,0.670152138524154,0.145781927409912,0.274662906353316,0.821331240480782
0.68,0.32,0.808988764044944,0.668185148257076,0.140803615787867,0.285865731157447,0.825951086039997
0.69,0.31,0.801724137931034,0.66627313905329,0.135450998877745,0.297589457606976,0.8310503669912
0.7,0.3,0.794117647058823,0.664416585574349,0.129701061484475,0.309869376248643,0.836672737389921
0.71,0.29,0.786144578313253,0.662615953957032,0.123528624356221,0.322744148265127,0.842867803500899
0.72,0.28,0.777777777777778,0.660871701300833,0.116906076476945,0.336256223083556,0.849692187386785
0.73,0.27,0.768987341772152,0.6591842751552,0.109803066616952,0.350452319533044,0.857210826950795
0.74,0.26,0.75974025974026,0.657554113007647,0.102186146732612,0.365383982104217,0.865498576095536
0.75,0.25,0.75,0.65598164177393,0.09401835822607,0.381108226327707,0.874642189031907
0.76,0.24,0.73972602739726,0.654467277291483,0.0852587501057777,0.397688290360193,0.88474280078293
0.77,0.23,0.72887323943662,0.653011423817372,0.0758618156192481,0.415194513716818,0.895919054899196
0.78,0.22,0.717391304347826,0.651614473532023,0.0657768308158035,0.433705368943567,0.908311084317365
0.79,0.21,0.705223880597015,0.650276806050006,0.0549470745470086,0.453308678182068,0.922085629742866
0.8,0.2,0.692307692307692,0.648998787939191,0.0433089043685013,0.474103054443821,0.937442693689942
0.81,0.19,0.678571428571428,0.647780772249562,0.0307906563218662,0.49619961752236,0.954624295946723
0.82,0.18,0.663934426229508,0.64662309805303,0.0173113281764778,0.51972404756709,0.973926147684811
0.83,0.17,0.648305084745763,0.64552608999553,0.00277899475023269,0.544819056432983,0.995713446006177
0.84,0.16,0.631578947368421,0.644490057862722,-0.0129111104943007,0.571647379407757,1.02044259161598
0.85,0.15,0.613636363636364,0.643515296160574,-0.0298789325242098,0.600395419765172,1.04869159374316
0.86,0.14,0.594339622641509,0.642602083712095,-0.0482624610705853,0.631277718576834,1.08120350592829
0.87,0.13,0.573529411764706,0.641750683271456,-0.0682212715067498,0.664542476310696,1.11894990929382
0.88,0.12,0.551020408163265,0.640961341156698,-0.089940932993433,0.700478426712121,1.16322613765475
0.89,0.11,0.526595744680851,0.640234286902198,-0.113638542221347,0.739423465759288,1.21579844381427
0.9,0.1,0.5,0.639569732931989,-0.13956973293199,0.781775581699031,1.27913946586398
0.91,0.09,0.470930232558139,0.638967874255026,-0.168037641696886,0.828006835333786,1.35682067125759
0.92,0.08,0.439024390243902,0.638428888183355,-0.199404497939453,0.878681432089249,1.45419913419542
0.93,0.07,0.403846153846154,0.637952934074171,-0.234106780228017,0.934479354686274,1.57969297961223
0.94,0.0599999999999999,0.364864864864865,0.637540153096579,-0.272675288231715,0.996227660407328,1.74733227144989
0.95,0.0499999999999999,0.321428571428571,0.637190668023894,-0.315762096595322,1.06494250877193,1.98237096718545
0.96,0.04,0.272727272727273,0.63690458305214,-0.364177310324867,1.14188647189117,2.33531680452451
0.97,0.03,0.217741935483871,0.636681983645418,-0.418940048161547,1.22864802933043,2.9240209619271
0.98,0.02,0.155172413793104,0.636522936408631,-0.481350522615528,1.32725395721567,4.10203670130007
0.99,0.01,0.0833333333333334,0.636427488988045,-0.553094155654712,1.44033166782946,7.63712986785653
1,0,0,0.63639567,-0.63639567,1.57134947194094,Inf
