"trait","speed","growth_curve","pred_curve","fitness","NCE_CE"
0,1,1,0.449999689917493,0.550000310082507,0
0.01,0.99,0.998878923766816,0.44567361,0.553205313766816,0.00251546469889434
0.02,0.98,0.997737556561086,0.441349243376545,0.556388313184541,0.00512619761530616
0.03,0.97,0.996575342465753,0.437026640906122,0.559548701559631,0.00783626720592129
0.04,0.96,0.995391705069124,0.432705855458825,0.562685849610299,0.0106499481639536
0.05,0.95,0.994186046511628,0.428386942015093,0.565799104496535,0.0135717336784912
0.06,0.94,0.992957746478873,0.424069957770832,0.568887788708041,0.0166063485330229
0.07,0.93,0.991706161137441,0.419754962248802,0.571951198888639,0.0197587631081852
0.08,0.92,0.99043062200957,0.415442017416696,0.574988604592873,0.0230342083594115
0.09,0.91,0.989130434782609,0.411131187812406,0.577999246970202,0.0264381918463237
0.1,0.9,0.987804878048781,0.406822540676952,0.580982337371829,0.0299765148974458
0.11,0.89,0.986453201970443,0.402516146095637,0.583937055874806,0.0336552910012659
0.12,0.88,0.985074626865672,0.398212077148022,0.58686254971765,0.0374809655227512
0.13,0.87,0.983668341708543,0.393910410067346,0.589757931641196,0.0414603368534104
0.14,0.86,0.982233502538071,0.389611224410093,0.592622278127978,0.0456005791127528
0.15,0.85,0.980769230769231,0.38531460323645,0.595454627532781,0.0499092665298443
0.16,0.84,0.979274611398964,0.381020633302473,0.598253978096491,0.0543943996455003
0.17,0.83,0.977748691099476,0.376729405264836,0.601019285834641,0.059064433488756
0.18,0.82,0.976190476190476,0.372441013899115,0.603749462291362,0.0639283078956851
0.19,0.81,0.974598930481283,0.368155558332654,0.60644337214863,0.0689954801545192
0.2,0.8,0.972972972972973,0.363873142293135,0.609099830679838,0.0742759601786001
0.21,0.79,0.971311475409836,0.359593874374072,0.611717601035764,0.0797803484280725
0.22,0.78,0.969613259668508,0.355317868318575,0.614295391349933,0.0855198768226516
0.23,0.77,0.967877094972067,0.351045243322824,0.616831851649243,0.0915064529115198
0.24,0.76,0.966101694915254,0.346776124360847,0.619325570554407,0.0977527075926139
0.25,0.75,0.964285714285714,0.34251064253232,0.621775071753394,0.104272046702653
0.26,0.74,0.96242774566474,0.338248935435279,0.624178810229461,0.111078706831434
0.27,0.73,0.960526315789474,0.333991147565801,0.626535168223672,0.118187815749666
0.28,0.72,0.958579881656805,0.3297374307469,0.628842450909905,0.125615457879238
