"case","v","P","h","optim","fitness","CE","NCE"
"base","0.2","0.45","8",0.54,0.663279993043129,0.221335391572255,0.115384615384615
"preddens","0.2","0.9","8",0.69,0.476146473688119,0.325577664242915,0.198275862068966
"predmode","1","0.9","8",0.45,0.190366603293986,0.726300063372681,0.0833333333333333
"preyh_1","0.2","0.9","1",0.45,0.193194660624434,0.516482758730405,0.290322580645161
"preyh_2","0.2","0.9","2",0.68,0.0572160665740301,0.333027835864994,0.609756097560976
