"trait","speed","growth_curve","pred_curve","fitness","NCE_CE"
0,1,0.666666666666667,0.899999379834986,-0.23333271316832,0.370370625582486
0.01,0.99,0.664429530201342,0.89134722,-0.226917689798658,0.376475589163399
0.02,0.98,0.662162162162162,0.882698486753089,-0.220536324590927,0.382732997629279
0.03,0.97,0.659863945578231,0.874053281812245,-0.214189336234014,0.389147963287246
0.04,0.96,0.657534246575342,0.86541171091765,-0.207877464342308,0.395725813626349
0.05,0.95,0.655172413793103,0.856773884030186,-0.201601470237082,0.402472102189739
0.06,0.94,0.652777777777778,0.848139915541665,-0.195362137763887,0.40939262008494
0.07,0.93,0.65034965034965,0.839509924497603,-0.189160274147953,0.416493408174531
0.08,0.92,0.647887323943662,0.830884034833392,-0.18299671088973,0.423780769992702
0.09,0.91,0.645390070921986,0.822262375624813,-0.176872304702827,0.431261285436485
0.1,0.9,0.642857142857143,0.813645081353903,-0.170787938496761,0.438941825284032
0.11,0.89,0.640287769784173,0.805032292191274,-0.164744522407101,0.446829566596269
0.12,0.88,0.63768115942029,0.796424154296045,-0.158742994875755,0.454932009062385
0.13,0.87,0.635036496350365,0.787820820134693,-0.152784323784328,0.463256992354223
0.14,0.86,0.632352941176471,0.779222448820185,-0.146869507643715,0.47181271455947
0.15,0.85,0.62962962962963,0.770629206472899,-0.14099957684327,0.480607751768873
0.16,0.84,0.626865671641791,0.762041266604946,-0.135175594963155,0.489651078898392
0.17,0.83,0.62406015037594,0.753458810529672,-0.129398660153732,0.498952091833367
0.18,0.82,0.621212121212121,0.744882027798229,-0.123669906586108,0.508520630988406
0.19,0.81,0.618320610687023,0.736311116665308,-0.117990505978285,0.518367006383893
0.2,0.8,0.615384615384615,0.72774628458627,-0.112361669201654,0.528502024347732
0.21,0.79,0.612403100775194,0.719187748748145,-0.106784647972951,0.538937015959292
0.22,0.78,0.609375,0.710635736637151,-0.101260736637151,0.549683867361504
0.23,0.77,0.606299212598425,0.702090486645649,-0.0957912740472234,0.560755052076755
0.24,0.76,0.603174603174603,0.693552248721694,-0.0903776455470908,0.572163665472641
0.25,0.75,0.6,0.68502128506464,-0.0850212850646396,0.583923461534857
0.26,0.74,0.596774193548387,0.676497870870558,-0.0797236773221711,0.596048892116567
0.27,0.73,0.59349593495935,0.667982295131603,-0.0744863601722531,0.608555148846517
0.28,0.72,0.590163934426229,0.659474861493799,-0.0693109270675697,0.621458207892014
0.29,0.71,0.586776859504132,0.650975889178197,-0.064199029674065,0.634774877787759
0.3,0.7,0.583333333333333,0.642485713970762,-0.0591523806374287,0.648522850557309
0.31,0.69,0.579831932773109,0.634004689286911,-0.0541727565138016,0.662720756370856
0.32,0.68,0.576271186440678,0.625533187317157,-0.0492620008764793,0.677388222000895
0.33,0.67,0.572649572649573,0.617071600260965,-0.0444220276113919,0.692545933356352
0.34,0.66,0.568965517241379,0.608620341656595,-0.0396548244152157,0.708215702395674
0.35,0.65,0.565217391304348,0.600179847815511,-0.0349624565111633,0.724420538740414
0.36,0.64,0.56140350877193,0.59175057937074,-0.0303470705988101,0.741184726332618
0.37,0.63,0.557522123893805,0.58333302294955,-0.0258108990557442,0.758533905501974
0.38,0.62,0.553571428571428,0.57492769298183,-0.0213562644104017,0.776495160831782
0.39,0.61,0.54954954954955,0.566535133656737,-0.016985584107187,0.795097115236243
0.4,0.6,0.545454545454545,0.558155921041424,-0.0127013755868783,0.814370030684885
0.41,0.59,0.541284403669725,0.549790665377142,-0.00850626170741697,0.83434591603262
0.42,0.58,0.537037037037037,0.541440013569534,-0.00440297653249733,0.855058642435386
