"delta","growth_curve","pred_curve","fitness","NCE_CE"
1,0.0666666666666667,0,0.0666666666666667,Inf
0.99,0.076,0.005,0.0710000000000001,184.8
0.98,0.0853333333333333,0.01,0.0753333333333334,91.4666666666666
0.97,0.0946666666666667,0.015,0.0796666666666667,60.3555555555555
0.96,0.104,0.02,0.0840000000000001,44.8
0.95,0.113333333333333,0.025,0.0883333333333334,35.4666666666666
0.94,0.122666666666667,0.03,0.0926666666666667,29.2444444444444
0.93,0.132,0.035,0.0970000000000001,24.8
0.92,0.141333333333333,0.04,0.101333333333333,21.4666666666667
0.91,0.150666666666667,0.045,0.105666666666667,18.8740740740741
0.9,0.16,0.05,0.11,16.8
0.89,0.169333333333333,0.055,0.114333333333333,15.1030303030303
0.88,0.178666666666667,0.06,0.118666666666667,13.6888888888889
0.87,0.188,0.065,0.123,12.4923076923077
0.86,0.197333333333333,0.07,0.127333333333333,11.4666666666667
0.85,0.206666666666667,0.075,0.131666666666667,10.5777777777778
0.84,0.216,0.08,0.136,9.8
0.83,0.225333333333333,0.085,0.140333333333333,9.11372549019608
0.82,0.234666666666667,0.09,0.144666666666667,8.50370370370371
0.81,0.244,0.095,0.149,7.95789473684211
0.8,0.253333333333333,0.1,0.153333333333333,7.46666666666667
0.79,0.262666666666667,0.105,0.157666666666667,7.02222222222222
0.78,0.272,0.11,0.162,6.61818181818182
0.77,0.281333333333333,0.115,0.166333333333333,6.24927536231884
0.76,0.290666666666667,0.12,0.170666666666667,5.91111111111111
0.75,0.3,0.125,0.175,5.6
0.74,0.309333333333333,0.13,0.179333333333333,5.31282051282051
0.73,0.318666666666667,0.135,0.183666666666667,5.04691358024691
0.72,0.328,0.14,0.188,4.8
0.71,0.337333333333333,0.145,0.192333333333333,4.57011494252873
0.7,0.346666666666667,0.15,0.196666666666667,4.35555555555556
0.69,0.356,0.155,0.201,4.15483870967742
0.68,0.365333333333333,0.16,0.205333333333333,3.96666666666667
0.67,0.374666666666667,0.165,0.209666666666667,3.78989898989899
0.66,0.384,0.17,0.214,3.6235294117647
0.65,0.393333333333333,0.175,0.218333333333333,3.46666666666667
0.64,0.402666666666667,0.18,0.222666666666667,3.31851851851852
0.63,0.412,0.185,0.227,3.17837837837838
0.62,0.421333333333333,0.19,0.231333333333333,3.04561403508772
0.61,0.430666666666667,0.195,0.235666666666667,2.91965811965812
0.6,0.44,0.2,0.24,2.8
0.59,0.449333333333333,0.205,0.244333333333333,2.68617886178862
0.58,0.458666666666667,0.21,0.248666666666667,2.57777777777778
0.57,0.468,0.215,0.253,2.47441860465116
0.56,0.477333333333333,0.22,0.257333333333333,2.37575757575758
