"trait","speed","growth_curve","pred_curve","fitness","NCE_CE"
0,1,1,0.899999379834986,0.100000620165014,0
0.01,0.99,0.994974874371859,0.89134722,0.103627654371859,0.00563767465179364
0.02,0.98,0.98989898989899,0.882698486753089,0.107200503145901,0.0114433300301279
0.03,0.97,0.984771573604061,0.874053281812245,0.110718291791816,0.0174227666811854
0.04,0.96,0.979591836734694,0.86541171091765,0.114180125817044,0.0235820280773253
0.05,0.95,0.974358974358974,0.856773884030186,0.117585090328789,0.0299274127269293
0.06,0.94,0.969072164948454,0.848139915541665,0.120932249406789,0.0364654869848854
0.07,0.93,0.963730569948187,0.839509924497603,0.124220645450583,0.0432030986096068
0.08,0.92,0.958333333333333,0.830884034833392,0.127449298499941,0.050147391115803
0.09,0.91,0.952879581151832,0.822262375624813,0.13061720552702,0.0573058189758009
0.1,0.9,0.947368421052632,0.813645081353903,0.133723339698728,0.0646861637260678
0.11,0.89,0.941798941798942,0.805032292191274,0.136766649607668,0.0722965510397561
0.12,0.88,0.936170212765957,0.796424154296045,0.139746058469913,0.0801454688305648
0.13,0.87,0.93048128342246,0.787820820134693,0.142660463287767,0.0882417864580612
0.14,0.86,0.924731182795699,0.779222448820185,0.145508733975514,0.0965947751098097
0.15,0.85,0.918918918918919,0.770629206472899,0.14828971244602,0.105214129441294
0.16,0.84,0.91304347826087,0.762041266604946,0.151002211655924,0.114109990560669
0.17,0.83,0.907103825136612,0.753458810529672,0.15364501460694,0.123292970451939
0.18,0.82,0.901098901098901,0.744882027798229,0.156216873300672,0.132774177937193
0.19,0.81,0.895027624309392,0.736311116665308,0.158716507644084,0.142565246286134
0.2,0.8,0.888888888888889,0.72774628458627,0.161142604302619,0.152678362589345
0.21,0.79,0.88268156424581,0.719187748748145,0.163493815497665,0.163126299020528
0.22,0.78,0.876404494382023,0.710635736637151,0.165768757744872,0.173922446122471
0.23,0.77,0.870056497175141,0.702090486645649,0.167966010529493,0.185080848261718
0.24,0.76,0.863636363636364,0.693552248721694,0.17008411491467,0.196616241407871
0.25,0.75,0.857142857142857,0.68502128506464,0.172121572078218,0.208544093405306
0.26,0.74,0.850574712643678,0.676497870870558,0.17407684177312,0.22088064691768
0.27,0.73,0.84393063583815,0.667982295131603,0.175948340706548,0.233642965239223
0.28,0.72,0.837209302325581,0.659474861493799,0.177734440831782,0.246848981181293
0.29,0.71,0.830409356725146,0.650975889178197,0.179433467546949,0.260517549258158
0.3,0.7,0.823529411764706,0.642485713970762,0.181043697793944,0.274668501412508
0.31,0.69,0.816568047337278,0.634004689286911,0.182563358050367,0.289322706538709
0.32,0.68,0.80952380952381,0.625533187317157,0.183990622206652,0.304502134080402
0.33,0.67,0.802395209580838,0.617071600260965,0.185323609319874,0.320229921998668
0.34,0.66,0.795180722891566,0.608620341656595,0.186560381234971,0.336530449427535
0.35,0.65,0.787878787878788,0.600179847815511,0.187698940063277,0.353429414355172
0.36,0.64,0.780487804878049,0.59175057937074,0.188737225507309,0.37095391669135
0.37,0.63,0.773006134969325,0.58333302294955,0.189673112019776,0.389132547104755
0.38,0.62,0.765432098765432,0.57492769298183,0.190504405783602,0.407995482037045
0.39,0.61,0.757763975155279,0.566535133656737,0.191228841498543,0.427574585323937
0.4,0.6,0.75,0.558155921041424,0.191844078958576,0.447903516876687
0.41,0.59,0.742138364779874,0.549790665377142,0.192347699402732,0.469017848899343
0.42,0.58,0.734177215189873,0.541440013569534,0.192737201620339,0.490955190137583
0.43,0.57,0.726114649681529,0.533104651891739,0.19300999778979,0.513755318672573
0.44,0.56,0.717948717948718,0.524785308920841,0.193163409027877,0.53746032378705
0.45,0.55,0.709677419354839,0.516482758730405,0.193194660624434,0.562114757438988
0.46,0.54,0.701298701298701,0.508197824364188,0.193100876934513,0.587765795878814
0.47,0.53,0.69281045751634,0.499931381618833,0.192879075897506,0.614463411936547
0.48,0.52,0.684210526315789,0.491684363166283,0.192526163149506,0.642260558482339
0.49,0.51,0.675496688741722,0.483457763049936,0.192038925691785,0.671213363523465
0.5,0.5,0.666666666666667,0.475252641592196,0.191414025074471,0.701381337337962
0.51,0.49,0.657718120805369,0.467070130755081,0.190647990050288,0.732827591953454
0.52,0.48,0.648648648648649,0.45891144,0.189737208648649,0.76561907315135
0.53,0.47,0.639455782312925,0.450777862697666,0.188677919615259,0.799826805001935
0.54,0.46,0.63013698630137,0.442670783144511,0.187466203156859,0.835526146702769
0.55,0.45,0.620689655172414,0.434591684247835,0.186097970924579,0.872797061186464
0.56,0.44,0.611111111111111,0.426542155948345,0.184568955162766,0.911724394566018
0.57,0.43,0.601398601398601,0.418523904455709,0.182874696942892,0.952398164974066
0.58,0.42,0.591549295774648,0.410538762380287,0.181010533394361,0.994913858699168
0.59,0.41,0.581560283687943,0.402588699852244,0.178971583835699,1.0393727306942
0.6,0.4,0.571428571428572,0.394675836727814,0.176752734700758,1.08588210548849
0.61,0.39,0.561151079136691,0.386802455991397,0.174348623145294,1.13455567322734
0.62,0.38,0.550724637681159,0.378971018471399,0.17175361920976,1.18551377393189
0.63,0.37,0.54014598540146,0.371184178996923,0.168961806404537,1.23888366104729
0.64,0.36,0.529411764705882,0.363444804131365,0.165966960574517,1.29479973284754
0.65,0.35,0.518518518518518,0.355755991627197,0.162762526891322,1.35340371719174
0.66,0.34,0.507462686567164,0.348121091753014,0.15934159481415,1.41484479137013
0.67,0.33,0.496240601503759,0.340543730648602,0.155696870855157,1.47927961421218
0.68,0.32,0.484848484848485,0.333027835864994,0.151820648983491,1.54687224211598
0.69,0.31,0.473282442748092,0.325577664242915,0.147704778505176,1.61779389405203
0.7,0.3,0.461538461538462,0.318197832272503,0.143340629265958,1.69222252274932
0.71,0.29,0.449612403100775,0.3108933490573,0.138719054043475,1.77034214005583
0.72,0.28,0.4375,0.30366965197284,0.13383034802716,1.85234183378427
0.73,0.27,0.425196850393701,0.296532645060613,0.128664205333088,1.93841440118273
0.74,0.26,0.412698412698413,0.289488740126587,0.123209672571826,2.02875451060644
0.75,0.25,0.4,0.282544900413386,0.117455099586614,2.1235562883002
0.76,0.24,0.387096774193548,0.27570868657922,0.111388087614329,2.22301021201356
0.77,0.23,0.373983739837398,0.26898830453565,0.104995435301748,2.32729917846533
0.78,0.22,0.360655737704918,0.26239265446042,0.0982630832444975,2.43659359904651
0.79,0.21,0.347107438016529,0.25593138,0.0911760580165289,2.55104536998734
0.8,0.2,0.333333333333333,0.249614916298526,0.0837184170348076,2.67078056292666
0.81,0.19,0.319327731092437,0.243454535026219,0.0758731960662181,2.79589069406433
0.82,0.18,0.305084745762712,0.237462384025432,0.0676223617372801,2.92642246092697
0.83,0.17,0.290598290598291,0.231651518547467,0.0589467720508232,3.06236589274224
0.84,0.16,0.275862068965517,0.226035920330709,0.0498261486348087,3.20364095217703
0.85,0.15,0.260869565217391,0.2206305,0.0402390652173913,3.35008276182399
0.86,0.14,0.245614035087719,0.215451077502171,0.0301629575855485,3.50142581628388
0.87,0.13,0.230088495575221,0.210514334617716,0.0195741609575055,3.65728778433498
0.88,0.12,0.214285714285714,0.205837733125707,0.00844798116000767,3.81715380257537
0.89,0.11,0.198198198198198,0.201439392108933,-0.00324119391073469,3.98036249716346
0.9,0.1,0.181818181818182,0.197337918363907,-0.0155197365457252,4.14609531186513
0.91,0.09,0.165137614678899,0.19355218513693,-0.0284145704580309,4.31337101531802
0.92,0.08,0.148148148148148,0.190101056636878,-0.0419529084887302,4.48104743299254
0.93,0.07,0.130841121495327,0.187003059102603,-0.0561619376072759,4.64783240806661
0.94,0.0599999999999999,0.113207547169811,0.184276003617135,-0.0710684564473239,4.81230564709148
0.95,0.0499999999999999,0.0952380952380951,0.181936571146567,-0.0866984759084723,4.97295238148152
0.96,0.04,0.076923076923077,0.179999875966997,-0.10307679904392,5.12820866191134
0.97,0.03,0.0582524271844661,0.178479028997234,-0.120226601812768,5.27651667597389
0.98,0.02,0.0392156862745098,0.177384726658057,-0.138169040383547,5.41638692252003
0.99,0.01,0.0198019801980198,0.176724892778036,-0.156922912580016,5.54646266518375
1,0,0,0.1765044,-0.1765044,5.66558114131999
