"trait","speed","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0,1,1,0.899999379834986,0.100000620165014,0,0.899999379834986
0.01,0.99,0.998878923766816,0.89134722,0.107531703766816,0.00125773234944717,0.89234760969697
0.02,0.98,0.997737556561086,0.882698486753089,0.115039069807997,0.00256309880765308,0.884700070623278
0.03,0.97,0.996575342465753,0.874053281812245,0.122522060653509,0.00391813360296065,0.877056901337373
0.04,0.96,0.995391705069124,0.86541171091765,0.129979994151474,0.00532497408197678,0.869418246616343
0.05,0.95,0.994186046511628,0.856773884030186,0.137412162481442,0.00678586683924561,0.861784257621005
0.06,0.94,0.992957746478873,0.848139915541665,0.144817830937208,0.00830317426651146,0.854155092247634
0.07,0.93,0.991706161137441,0.839509924497603,0.152196236639837,0.00987938155409261,0.84653091550296
0.08,0.92,0.99043062200957,0.830884034833392,0.159546587176177,0.0115171041797058,0.838911899904246
0.09,0.91,0.989130434782609,0.822262375624813,0.166868059157796,0.0132190959231619,0.831298225906404
0.1,0.9,0.987804878048781,0.813645081353903,0.174159796694877,0.0149882574487229,0.823690082358273
0.11,0.89,0.986453201970443,0.805032292191274,0.18142090977917,0.016827645500633,0.816087666990405
0.12,0.88,0.985074626865672,0.796424154296045,0.188650472569627,0.0187404827613756,0.808491186936893
0.13,0.87,0.983668341708543,0.787820820134693,0.19584752157385,0.0207301684267052,0.800900859294017
0.14,0.86,0.982233502538071,0.779222448820185,0.203011053717886,0.0228002895563764,0.793316911718742
0.15,0.85,0.980769230769231,0.770629206472899,0.210140024296332,0.0249546332649221,0.785739583070407
0.16,0.84,0.979274611398964,0.762041266604946,0.217233344794018,0.0271971998227502,0.778169124099231
0.17,0.83,0.977748691099476,0.753458810529672,0.224289880569805,0.029532216744378,0.770605798185635
0.18,0.82,0.976190476190476,0.744882027798229,0.231308448392247,0.0319641539478425,0.763049882134771
0.19,0.81,0.974598930481283,0.736311116665308,0.238287813815976,0.0344977400772596,0.75550166703107
0.2,0.8,0.972972972972973,0.72774628458627,0.245226688386703,0.0371379800893,0.747961459158111
0.21,0.79,0.971311475409836,0.719187748748145,0.252123726661691,0.0398901742140362,0.740429580989651
0.22,0.78,0.969613259668508,0.710635736637151,0.258977523031358,0.0427599384113258,0.732906372258258
0.23,0.77,0.967877094972067,0.702090486645649,0.265786608326418,0.0457532264557599,0.725392191108636
0.24,0.76,0.966101694915254,0.693552248721694,0.27254944619356,0.0488763537963069,0.717887415343508
0.25,0.75,0.964285714285714,0.68502128506464,0.279264429221075,0.0521360233513266,0.710392443770737
0.26,0.74,0.96242774566474,0.676497870870558,0.285929874794182,0.0555393534157172,0.702907697661301
0.27,0.73,0.960526315789474,0.667982295131603,0.292544020657871,0.0590939078748328,0.695433622328792
0.28,0.72,0.958579881656805,0.659474861493799,0.299105020163006,0.0628077289396189,0.687970688842297
0.29,0.71,0.956586826347305,0.650975889178197,0.305610937169108,0.0666893726394385,0.680519395885815
0.3,0.7,0.954545454545455,0.642485713970762,0.312059740574693,0.0707479473335246,0.673080271778894
0.31,0.69,0.952453987730061,0.634004689286911,0.318449298443151,0.0749931555292052,0.665653876674824
