"case","v","k","optim","fitness","CE","NCE","optim_mu_g"
"base","0.2","0.45",0.54,0.663279993043129,0.221335391572255,0.115384615384615,0.83
"preddens","0.2","0.9",0.69,0.476146473688119,0.325577664242915,0.198275862068966,0.83
"predmode","1","0.9",0.45,0.190366603293986,0.726300063372681,0.0833333333333333,0.5
