"proptime","growth_curve","mort_curve","fitness","NCE_CE","mu_g"
0,0.951229424500714,0.4,0.551229424500714,2.37807356125178,0.42050843855041
0.01,0.949904437786487,0.396,0.553904437786487,2.39874858026891,0.416884040380713
0.02,0.948579451072259,0.392,0.556579451072259,2.41984553844964,0.413249517008712
0.03,0.947254464358032,0.388,0.559254464358032,2.44137748545885,0.40960482594606
0.04,0.945929477643805,0.384,0.561929477643805,2.46335801469741,0.405949924466354
0.0499999999999999,0.944604490929577,0.38,0.564604490929577,2.48580129191994,0.402284769603461
0.0599999999999999,0.94327950421535,0.376,0.56727950421535,2.50872208567912,0.39860931814984
0.07,0.941954517501123,0.372,0.569954517501123,2.5321357997342,0.394923526654838
0.08,0.940629530786895,0.368,0.572629530786895,2.55605850757309,0.391227351422983
0.09,0.939304544072668,0.364,0.575304544072668,2.58050698921063,0.387520748512252
0.1,0.937979557358441,0.36,0.577979557358441,2.60549877044011,0.383803673732336
0.11,0.936654570644213,0.356,0.580654570644213,2.63105216473094,0.380076082642879
0.12,0.935329583929986,0.352,0.583329583929986,2.65718631798291,0.376337930551707
0.13,0.934004597215759,0.348,0.586004597215759,2.68392125636712,0.372589172513046
0.14,0.932679610501531,0.344,0.588679610501531,2.71127793750445,0.368829763325715
0.15,0.931354623787304,0.34,0.591354623787304,2.73927830525678,0.365059657531315
0.16,0.930029637073077,0.336,0.594029637073077,2.76794534843178,0.361278809412392
0.17,0.928704650358849,0.332,0.596704650358849,2.79730316373147,0.357487172990591
0.18,0.927379663644622,0.328,0.599379663644622,2.82737702330677,0.353684702024792
0.19,0.926054676930395,0.324,0.602054676930395,2.85819344731603,0.349871350009232
0.2,0.924729690216168,0.32,0.604729690216168,2.88978028192552,0.346047070171604
0.21,0.92340470350194,0.316,0.60740470350194,2.92216678323399,0.342211815471152
0.22,0.922079716787713,0.312,0.610079716787713,2.95538370765293,0.338365538596736
0.23,0.920754730073486,0.308,0.612754730073486,2.9894634093295,0.334508191964888
0.24,0.919429743359258,0.304,0.615429743359258,3.02443994526072,0.330639727717852
0.25,0.918104756645031,0.3,0.618104756645031,3.06034918881677,0.326760097721604
0.26,0.916779769930804,0.296,0.620779769930804,3.09722895246893,0.322869253563854
0.27,0.915454783216576,0.292,0.623454783216576,3.13511912060471,0.318967146552032
0.28,0.914129796502349,0.288,0.626129796502349,3.17406179341093,0.315053727711259
0.29,0.912804809788122,0.284,0.628804809788122,3.21410144291592,0.311128947782299
0.3,0.911479823073894,0.28,0.631479823073894,3.25528508240677,0.307192757219487
0.31,0.910154836359667,0.276,0.634154836359667,3.2976624505785,0.303245106188649
0.32,0.90882984964544,0.272,0.63682984964544,3.34128621193176,0.299285944564997
0.33,0.907504862931212,0.268,0.639504862931212,3.38621217511646,0.295315221931008
0.34,0.906179876216985,0.264,0.642179876216985,3.43249953112494,0.291332887574282
0.35,0.904854889502758,0.26,0.644854889502758,3.48021111347215,0.287338890485387
0.36,0.90352990278853,0.256,0.64752990278853,3.5294136827677,0.283333179355677
0.37,0.902204916074303,0.252,0.650204916074303,3.58017823839009,0.279315702575097
0.38,0.900879929360076,0.248,0.652879929360076,3.63258036032289,0.275286408229965
0.39,0.899554942645848,0.244,0.655554942645848,3.68670058461413,0.27124524410074
0.4,0.898229955931621,0.24,0.658229955931621,3.74262481638175,0.267192157659759
0.41,0.896904969217394,0.236,0.660904969217394,3.80044478481947,0.263127096068968
0.42,0.895579982503167,0.232,0.663579982503167,3.86025854527227,0.259050006177622
