"proptime","growth_curve","pred_curve","fitness","NCE_CE","mu_g"
1,0.333333333333333,0.1,0.233333333333333,6.66666666666667,0.3
0.99,0.335,0.103,0.232,6.45631067961165,0.307462686567164
0.98,0.336666666666667,0.106,0.230666666666667,6.25786163522013,0.314851485148515
0.97,0.338333333333333,0.109,0.229333333333333,6.07033639143731,0.322167487684729
0.96,0.34,0.112,0.228,5.89285714285714,0.329411764705882
0.95,0.341666666666667,0.115,0.226666666666667,5.72463768115942,0.336585365853659
0.94,0.343333333333333,0.118,0.225333333333333,5.56497175141243,0.34368932038835
0.93,0.345,0.121,0.224,5.41322314049587,0.35072463768116
0.92,0.346666666666667,0.124,0.222666666666667,5.26881720430108,0.357692307692308
0.91,0.348333333333333,0.127,0.221333333333333,5.13123359580052,0.364593301435407
0.9,0.35,0.13,0.22,5,0.371428571428571
0.89,0.351666666666667,0.133,0.218666666666667,4.87468671679198,0.378199052132701
0.88,0.353333333333333,0.136,0.217333333333333,4.75490196078431,0.384905660377359
0.87,0.355,0.139,0.216,4.64028776978417,0.391549295774648
0.86,0.356666666666667,0.142,0.214666666666667,4.53051643192488,0.398130841121495
0.85,0.358333333333333,0.145,0.213333333333333,4.42528735632184,0.404651162790698
0.84,0.36,0.148,0.212,4.32432432432432,0.411111111111111
0.83,0.361666666666667,0.151,0.210666666666667,4.22737306843267,0.417511520737327
0.82,0.363333333333333,0.154,0.209333333333333,4.13419913419913,0.423853211009174
0.81,0.365,0.157,0.208,4.04458598726115,0.43013698630137
0.8,0.366666666666667,0.16,0.206666666666667,3.95833333333333,0.436363636363636
0.79,0.368333333333333,0.163,0.205333333333333,3.87525562372188,0.442533936651584
0.78,0.37,0.166,0.204,3.79518072289157,0.448648648648649
0.77,0.371666666666667,0.169,0.202666666666667,3.71794871794872,0.454708520179372
0.76,0.373333333333333,0.172,0.201333333333333,3.64341085271318,0.460714285714286
0.75,0.375,0.175,0.2,3.57142857142857,0.466666666666667
0.74,0.376666666666667,0.178,0.198666666666667,3.50187265917603,0.472566371681416
0.73,0.378333333333333,0.181,0.197333333333333,3.43462246777164,0.4784140969163
0.72,0.38,0.184,0.196,3.3695652173913,0.484210526315789
0.71,0.381666666666667,0.187,0.194666666666667,3.3065953654189,0.489956331877729
0.7,0.383333333333333,0.19,0.193333333333333,3.24561403508772,0.495652173913044
0.69,0.385,0.193,0.192,3.18652849740933,0.501298701298701
0.68,0.386666666666667,0.196,0.190666666666667,3.12925170068027,0.506896551724138
0.67,0.388333333333333,0.199,0.189333333333333,3.07370184254606,0.51244635193133
0.66,0.39,0.202,0.188,3.01980198019802,0.517948717948718
0.65,0.391666666666667,0.205,0.186666666666667,2.96747967479675,0.523404255319149
0.64,0.393333333333333,0.208,0.185333333333333,2.91666666666667,0.528813559322034
0.63,0.395,0.211,0.184,2.86729857819905,0.534177215189873
0.62,0.396666666666667,0.214,0.182666666666667,2.81931464174455,0.539495798319328
0.61,0.398333333333333,0.217,0.181333333333333,2.7726574500768,0.544769874476988
0.6,0.4,0.22,0.18,2.72727272727273,0.55
0.59,0.401666666666667,0.223,0.178666666666667,2.6831091180867,0.555186721991701
0.58,0.403333333333333,0.226,0.177333333333333,2.6401179941003,0.560330578512397
0.57,0.405,0.229,0.176,2.59825327510917,0.565432098765432
0.56,0.406666666666667,0.232,0.174666666666667,2.55747126436782,0.570491803278689
0.55,0.408333333333333,0.235,0.173333333333333,2.5177304964539,0.575510204081633
0.54,0.41,0.238,0.172,2.47899159663866,0.580487804878049
0.53,0.411666666666667,0.241,0.170666666666667,2.44121715076072,0.585425101214575
0.52,0.413333333333333,0.244,0.169333333333333,2.40437158469945,0.590322580645161
0.51,0.415,0.247,0.168,2.36842105263158,0.595180722891566
0.5,0.416666666666667,0.25,0.166666666666667,2.33333333333333,0.6
0.49,0.418333333333333,0.253,0.165333333333333,2.29907773386034,0.604780876494024
0.48,0.42,0.256,0.164,2.265625,0.60952380952381
0.47,0.421666666666667,0.259,0.162666666666667,2.23294723294723,0.614229249011858
0.46,0.423333333333333,0.262,0.161333333333333,2.20101781170483,0.618897637795276
0.45,0.425,0.265,0.16,2.16981132075472,0.623529411764706
0.44,0.426666666666667,0.268,0.158666666666667,2.13930348258706,0.628125
0.43,0.428333333333333,0.271,0.157333333333333,2.10947109471095,0.632684824902724
0.42,0.43,0.274,0.156,2.08029197080292,0.637209302325581
0.41,0.431666666666667,0.277,0.154666666666667,2.0517448856799,0.641698841698842
0.4,0.433333333333333,0.28,0.153333333333333,2.02380952380952,0.646153846153846
0.39,0.435,0.283,0.152,1.99646643109541,0.650574712643678
0.38,0.436666666666667,0.286,0.150666666666667,1.96969696969697,0.654961832061069
0.37,0.438333333333333,0.289,0.149333333333333,1.94348327566321,0.659315589353612
0.36,0.44,0.292,0.148,1.91780821917808,0.663636363636364
0.35,0.441666666666667,0.295,0.146666666666667,1.89265536723164,0.667924528301887
0.34,0.443333333333333,0.298,0.145333333333333,1.86800894854586,0.672180451127819
0.33,0.445,0.301,0.144,1.84385382059801,0.676404494382022
0.32,0.446666666666667,0.304,0.142666666666667,1.82017543859649,0.680597014925373
